shell,n_in_shell,r_mpc,phi_tick,theta_tick,omega,trichter_depth,x,y,z,alpha,delta_phi_tick
1,13,500.0,45946.0,36365.146925706635,1.25,0.0009372070922755715,-299.6414882168135,388.7024273559504,-95.49563243928301,1.5,0.0
1,13,500.0,8802.0,39973.657665434206,1.25,0.0009372070922755715,424.8216810985131,193.15485008254524,-179.43413927299912,1.5,0.0
1,13,500.0,125802.0,29578.37080183806,1.25,0.0009372070922755715,486.9556869272087,-90.6915193931597,68.16272948345241,1.5,0.0
1,13,500.0,57761.0,30301.447237764878,1.25,0.0009372070922755715,-468.7303416787996,166.47219109163544,50.765980749359976,1.5,0.0
1,13,500.0,115748.0,31906.804142668087,1.25,0.0009372070922755715,391.312881745844,-311.0165978036299,11.950344515384703,1.5,0.0
1,13,500.0,87858.0,27369.436017165426,1.25,0.0009372070922755715,-212.31841265428503,-436.283149985138,120.69938895707124,1.5,0.0
1,13,500.0,100878.0,26404.72838643464,1.25,0.0009372070922755715,84.96561877593759,-471.43218096391695,143.2448055458398,1.5,0.0
1,13,500.0,98482.0,32006.419804860125,1.25,0.0009372070922755715,31.05089903488035,-498.94371291061134,9.536944859917163,1.5,0.0
1,13,500.0,25225.0,27975.931454624322,1.25,0.0009372070922755715,166.53503072021948,459.2825110261099,106.38716880288084,1.5,0.0
2,13,1000.0,98122.8600619454,30577.149740288827,0.7766051864751765,0.003745316403809873,44.55204860689224,-995.100705213837,88.14358970284462,1.5,0.0
2,13,1000.0,111770.8600619454,28970.915283669954,0.7766051864751765,0.003745316403809873,640.1616203680584,-750.205845845104,165.26506510947877,1.5,0.0
2,13,1000.0,17226.860061945394,35356.427164394605,0.7766051864751765,0.003745316403809873,664.1617991714195,733.8156766140883,-142.65412588119534,1.5,0.0
2,13,1000.0,81617.8600619454,26563.990234470817,0.7766051864751765,0.003745316403809873,-658.3512570642434,-699.0231677262813,278.811817627746,1.5,0.0
2,13,1000.0,45788.860061945394,27538.512880096754,0.7766051864751765,0.003745316403809873,-587.7659066988999,774.597808385984,233.20936253339792,1.5,0.0
2,13,1000.0,3278.8600619453937,24419.26876996629,0.7766051864751765,0.003745316403809873,914.4007703849977,146.59331994947237,376.84027034088876,1.5,0.0
2,13,1000.0,106580.8600619454,37048.17491553464,0.7766051864751765,0.003745316403809873,428.173136248673,-875.6363520292202,-223.1545001416968,1.5,0.0
2,13,1000.0,115717.8600619454,35070.58387679092,0.7766051864751765,0.003745316403809873,775.3946817897781,-618.1368344915542,-128.94287882069526,1.5,0.0
2,13,1000.0,37563.860061945394,35723.67913374663,0.7766051864751765,0.003745316403809873,-244.53465224910698,956.2749492570642,-160.22978407932212,1.5,0.0
2,13,1000.0,65445.860061945394,36947.81030255588,0.7766051864751765,0.003745316403809873,-975.3133779334194,-30.5491721296512,-218.4153078012748,1.5,0.0
2,13,1000.0,124475.8600619454,31734.43556372111,0.7766051864751765,0.003745316403809873,968.7962343560839,-245.74992919548805,32.21958447440432,1.5,0.0
2,13,1000.0,3223.8600619453937,33513.60737443688,0.7766051864751765,0.003745316403809873,986.3711436138113,155.43475589026087,-53.892246645492634,1.5,0.0
2,13,1000.0,81367.8600619454,26564.71136966805,0.7766051864751765,0.003745316403809873,-666.7818704488055,-690.9996004007459,278.77828993790547,1.5,0.0
3,13,1500.0,119399.80011239834,33267.98629065953,0.5509711162623713,0.008413813963378591,1319.1263549230964,-711.2831056980039,-62.917288113804105,1.5,0.0
3,13,1500.0,46916.80011239834,33359.1560040757,0.5509711162623713,0.008413813963378591,-969.6233765461569,1142.3522665434477,-69.52132409333262,1.5,0.0
3,13,1500.0,29945.80011239834,29223.991588614317,0.5509711162623713,0.008413813963378591,175.94707249232943,1471.7736445295,229.37679773610967,1.5,0.0
3,13,1500.0,72075.80011239834,24799.248920000617,0.5509711162623713,0.008413813963378591,-1313.1497677431153,-483.41973721708297,538.7263950854457,1.5,0.0
3,13,1500.0,101727.80011239834,31374.82170556427,0.5509711162623713,0.008413813963378591,326.22952825343106,-1462.1972199372915,74.30292243940302,1.5,0.0
3,13,1500.0,99915.80011239834,27776.271699676374,0.5509711162623713,0.008413813963378591,192.00129467590241,-1449.8119152807867,332.4561000428027,1.5,0.0
3,13,1500.0,76156.80011239834,30918.164028339106,0.5509711162623713,0.008413813963378591,-1275.0240531190407,-782.7649373005228,107.3524110540538,1.5,0.0
